name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
For Ever,Alina Corel,http://royalsperfume.com/cdn/shop/files/alina-corel-costly-perfumed-water-for-women-100ml.png?v=1709216568,men,"benzoin, cardamom, ginger, guaiac wood, pink pepper and lavender",energetic,spring,night,Alina Corel,fresh,casual,any
Roses Vanille,Mancera,http://manceraparfums.us/cdn/shop/products/roses-vanille_1_1200x1200.jpg?v=1679326857,women,"cedar, musk, rose and sugar, sugar, vanilla",sensual,fall,night,Mancera,romantic,date,cold
Black,Mandarina Duck,"https://m.media-amazon.com/images/I/51Pe0Ab2pnL._AC_UF1000,1000_QL80_.jpg",men,"musk, orange blossom, patchouli, tuberose, vetiver",sensual,spring,night,Mandarina Duck,romantic,date,any
1 Million,PACO RABANNE,https://m.media-amazon.com/images/I/610wK1b2HdL.jpg,men,"amber, cinnamon, indian patchouli, leather, rose, spicy notes, woody notes",energetic,fall,night,PACO RABANNE,fresh,date,cold
Chloe,CHLOE,https://www.chloe.com/product_image/46467853gk/r/w1080.jpg,women,"bulgarian rose and orange flower, night queen flower, sandal wood and tonka bean, vanilla",romantic,fall,night,CHLOE,romantic,casual,cold
L'Instant Magic,Guerlain,https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dw2871f377/Secondary_visuals_2/2022/Fragrance/Les-Legendaires/Instant-Magic/LEGENDAIRES_SECONDARY-VISUAL_PDP_INSTANT-MAGIC_02.jpg?sw=900&sh=900,women,"almond, freesia, rose, wood",romantic,fall,night,Guerlain,romantic,casual,any
London,Dunhill,https://i5.walmartimages.com/seo/Alfred-Dunhill-Dunhill-London-Eau-De-Toilette-Spray-for-Men-3-3-oz_113c5bec-c78c-44fd-b1d8-4225dacf30d1.77d1687210241a004e96267fa214e3d1.jpeg,men,"geranium and jasmine, patchouli, rose, sandalwood, tonka bean, vanilla and musk",sensual,spring,night,Dunhill,romantic,date,cold
En Joy,TRI,https://f.nooncdn.com/p/pzsku/Z3891E8DF5601FFF5A3A7Z/45/_/1677136346/32e7b643-7d9f-4830-b662-8b284df7ecea.jpg?width=240,women,"benzoin, cassis, cedar, jasmine, musk, patchoulli, peach, rose, sandalwood",romantic,fall,night,TRI,romantic,date,any
Roses Greedy,Mancera,"https://m.media-amazon.com/images/I/91Bh+58W4qL._AC_UF1000,1000_QL80_.jpg",unisex,"amber, benzoin, flowers, jasmine, musk, rose, sugar, vanilla",romantic,spring,night,Mancera,romantic,date,cold
Oud Maaruf,DORALL COLLECTION,"https://m.media-amazon.com/images/I/61utLKn5plL._AC_UF1000,1000_QL80_.jpg",men,"amber, dried fruits, dry woodyamber, geranium, jasmin, muguet, musk, orris, oudh, patchouli, raspberry, rose, saffron, sandalwood, woody  amber, ylang",energetic,spring,night,DORALL COLLECTION,fresh,date,cold
